disease_long,disease,time_unit,outcome,confirmation_status,aggregation_subjurisdictions,aggregation_agegroups,aggregations_diseasesubtype,cste_reference,cste_reflink,disease_subtype,age_group
measles,measles,week,cases,confirmed,TRUE,TRUE,FALSE,12-ID-07,https://www.cste.org/resource/resmgr/ps1/12-ID-07FINAL.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
pertussis,pertussis,week,cases,confirmed and probable,TRUE,TRUE,FALSE,19-ID-08,https://www.cste.org/resource/resmgr/2019ps/final/19-ID-08_Pertussis_final_7.3.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
invasive meningococcal disease,meningococcus,week,cases,confirmed and probable,TRUE,TRUE,TRUE,14-ID-06,https://www.cste.org/resource/resmgr/2014PS/14_ID_06upd.pdf,"A,B,C,W,X,Y,Z,total,unknown,unspecified","<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
hepatitis A,hepatitis a,week,cases,confirmed,TRUE,TRUE,FALSE,18-ID-07,https://www.cste.org/resource/resmgr/2018_position_statements/18-ID-07.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
acute hepatitis B,acute hepatitis b,week,cases,confirmed and probable,TRUE,TRUE,FALSE,23-ID-05,https://www.cste.org/resource/resmgr/ps/ps_2023/23-ID-05_Hepatitis_B.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
perinatal hepatitis B,perinatal hepatitis b,week,cases,confirmed,TRUE,FALSE,FALSE,16-ID-06,https://www.cste.org/resource/resmgr/2016PS/16_ID_06.pdf,total,total
mumps,mumps,week,cases,confirmed and probable,TRUE,TRUE,FALSE,23-ID-06,https://www.cste.org/resource/resmgr/ps/ps_2023/23-ID-06_Mumps.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
mpox,mpox,week,cases,confirmed and probable,TRUE,TRUE,FALSE,22-ID-10,https://www.cste.org/resource/resmgr/ps/ps2022/22-ID-10_Monkeypox_7.28.2022.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
varicella,varicella,week,cases,confirmed and probable,TRUE,TRUE,FALSE,23-ID-09,https://www.cste.org/resource/resmgr/ps/ps_2023/23-ID-09_Varicella.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,19-22 y,23-44 y,45-64 y,>=65 y,total,unknown,unspecified"
influenza-associated pediatric mortality,pediatric flu mortality,week,deaths,confirmed,TRUE,TRUE,FALSE,09-ID-44,https://www.cste.org/resource/resmgr/PS/09-ID-44.pdf,total,"<1 y,1-4 y,5-11 y,12-18 y,total,unknown,unspecified"
